     lower     upper     count
       737       790    499196
       790       846    337939
       846       905    229586
       905       967    154042
       967      1032    103375
      1032      1101     70573
      1101      1172     46173
      1172      1248     31836
      1248      1327     20997
      1327      1410     13990
      1410      1497      9375
      1497      1588      6157
      1588      1684      3986
      1684      1784      2498
      1784      1890      1658
      1890      2000      1041
      2000      2116       658
      2116      2238       411
      2238      2366       266
      2366      2500       133
      2500      2640        89
      2640      2787        57
      2787      2941        14
      2941      3103        16
      3103      3273         7
      3273      3450         5
      3450      3637         5
      3637      3832         1
