 pT-low pT-high          LO-xsection         NLO-xsection
  56.00   64.00    2.23606142343E+05    2.60929565710E+05
  64.00   74.00    1.16967826177E+05    1.37720487664E+05
  74.00   84.00    6.12903547182E+04    7.14245690358E+04
  84.00   97.00    3.21094915046E+04    3.76658223236E+04
  97.00   114.0    1.53206318760E+04    1.79477193852E+04
  114.0   133.0    7.01373195680E+03    8.23688514376E+03
  133.0   153.0    3.34145912952E+03    3.92821911447E+03
  153.0   174.0    1.68083760282E+03    1.97437862131E+03
  174.0   196.0    8.84149520930E+02    1.04151067883E+03
  196.0   220.0    4.77646462684E+02    5.63800435751E+02
  220.0   245.0    2.63682095652E+02    3.11695397649E+02
  245.0   272.0    1.48930956995E+02    1.76010648723E+02
  272.0   300.0    8.56780145625E+01    1.01447419494E+02
  300.0   330.0    5.02542205968E+01    5.96485339317E+01
  330.0   362.0    2.97269790700E+01    3.53189153563E+01
  362.0   395.0    1.78721919579E+01    2.13213113842E+01
  395.0   430.0    1.09180041661E+01    1.30136398509E+01
  430.0   468.0    6.68259537123E+00    7.99634879043E+00
  468.0   507.0    4.12079306470E+00    4.93578826218E+00
  507.0   548.0    2.57941491794E+00    3.09848299791E+00
  548.0   592.0    1.61916808236E+00    1.94786145070E+00
  592.0   638.0    1.01922268093E+00    1.23022398650E+00
  638.0   686.0    6.46892119372E-01    7.81474447805E-01
  686.0   737.0    4.12080015640E-01    4.99778377556E-01
  737.0   790.0    2.63418949398E-01    3.20269239072E-01
  790.0   846.0    1.69073139413E-01    2.06201333169E-01
  846.0   905.0    1.08506511898E-01    1.32573009496E-01
  905.0   967.0    6.96550158022E-02    8.54845967495E-02
  967.0   1032.    4.47412912820E-02    5.50385688073E-02
  1032.   1101.    2.86710634377E-02    3.54262601776E-02
  1101.   1172.    1.83778074350E-02    2.27796465462E-02
  1172.   1248.    1.17639689660E-02    1.46270197000E-02
  1248.   1327.    7.48408905125E-03    9.35604384459E-03
  1327.   1410.    4.75192577285E-03    5.95333375764E-03
  1410.   1497.    3.00131447984E-03    3.78318462590E-03
  1497.   1588.    1.88541747947E-03    2.38333166072E-03
  1588.   1684.    1.17508737192E-03    1.49370528932E-03
  1684.   1784.    7.25948097257E-04    9.29094093897E-04
  1784.   1890.    4.43574117018E-04    5.70211618044E-04
  1890.   2000.    2.67672481615E-04    3.46093448585E-04
  2000.   2116.    1.59541545577E-04    2.07512607257E-04
  2116.   2238.    9.33446608797E-05    1.22212917583E-04
  2238.   2366.    5.35666008099E-05    7.05868935428E-05
  2366.   2500.    3.01068483928E-05    3.99900191488E-05
  2500.   2640.    1.65350600271E-05    2.21335360441E-05
  2640.   2787.    8.83809642516E-06    1.19178102044E-05
  2787.   2941.    4.57656607533E-06    6.22917849784E-06
  2941.   3103.    2.28142052494E-06    3.13356327042E-06
