 pT-low pT-high          LO-xsection         NLO-xsection
  56.00   64.00    2.83739775403E+05    2.68889048839E+05
  64.00   74.00    1.47548515409E+05    1.42359835330E+05
  74.00   84.00    7.69315457160E+04    7.35787312248E+04
  84.00   97.00    4.00955733635E+04    3.88826909932E+04
  97.00   114.0    1.90271546193E+04    1.85144031060E+04
  114.0   133.0    8.66496840016E+03    8.50320370043E+03
  133.0   153.0    4.10642060662E+03    4.05354993166E+03
  153.0   174.0    2.05599395474E+03    2.03537314368E+03
  174.0   196.0    1.07780624876E+03    1.07471242545E+03
  196.0   220.0    5.80337931635E+02    5.82026075448E+02
  220.0   245.0    3.19361880234E+02    3.21814648400E+02
  245.0   272.0    1.79905008407E+02    1.81710352653E+02
  272.0   300.0    1.03232780496E+02    1.04774388255E+02
  300.0   330.0    6.03985588947E+01    6.16280000226E+01
  330.0   362.0    3.56403294243E+01    3.64879167474E+01
  362.0   395.0    2.13785608324E+01    2.20438331398E+01
  395.0   430.0    1.30324169848E+01    1.34473207261E+01
  430.0   468.0    7.96071924657E+00    8.26878851869E+00
  468.0   507.0    4.89961561626E+00    5.10385213245E+00
  507.0   548.0    3.06151272138E+00    3.20552136158E+00
  548.0   592.0    1.91856447075E+00    2.01541832374E+00
  592.0   638.0    1.20574369724E+00    1.27365123487E+00
  638.0   686.0    7.64113474338E-01    8.09061712265E-01
  686.0   737.0    4.86040569387E-01    5.17801065369E-01
  737.0   790.0    3.10249778747E-01    3.31929783375E-01
  790.0   846.0    1.98855212199E-01    2.13809735041E-01
  846.0   905.0    1.27449299722E-01    1.37488391794E-01
  905.0   967.0    8.17098566597E-02    8.87226246598E-02
  967.0   1032.    5.24193320158E-02    5.71400880178E-02
  1032.   1101.    3.35509074986E-02    3.68063690168E-02
  1101.   1172.    2.14807699361E-02    2.36779388500E-02
  1172.   1248.    1.37348039478E-02    1.52105601270E-02
  1248.   1327.    8.72831836122E-03    9.73825055402E-03
  1327.   1410.    5.53602672558E-03    6.19791803667E-03
  1410.   1497.    3.49289466670E-03    3.94264306324E-03
  1497.   1588.    2.19199759504E-03    2.48463010804E-03
  1588.   1684.    1.36481146298E-03    1.55856739615E-03
  1684.   1784.    8.42342582573E-04    9.70514280926E-04
  1784.   1890.    5.14209268890E-04    5.96000336871E-04
  1890.   2000.    3.10010673680E-04    3.62061763675E-04
  2000.   2116.    1.84610308076E-04    2.17278516597E-04
  2116.   2238.    1.07916285411E-04    1.28089846634E-04
  2238.   2366.    6.18747573842E-05    7.40503357702E-05
  2366.   2500.    3.47466875224E-05    4.20018522837E-05
  2500.   2640.    1.90673079269E-05    2.32729402866E-05
  2640.   2787.    1.01832055601E-05    1.25441149933E-05
  2787.   2941.    5.26888365952E-06    6.56539943191E-06
  2941.   3103.    2.62449081467E-06    3.30692297930E-06
