 pT-low pT-high          LO-xsection         NLO-xsection
  56.00   64.00    2.35917821081E+05    2.65000333654E+05
  64.00   74.00    1.21796362496E+05    1.39615090611E+05
  74.00   84.00    6.30352015876E+04    7.22491784346E+04
  84.00   97.00    3.26529346941E+04    3.80386709654E+04
  97.00   114.0    1.53956085548E+04    1.80904253101E+04
  114.0   133.0    6.96583105354E+03    8.28570751065E+03
  133.0   153.0    3.28467941788E+03    3.94333713891E+03
  153.0   174.0    1.63782044221E+03    1.97862200677E+03
  174.0   196.0    8.54959664989E+02    1.04204221381E+03
  196.0   220.0    4.58727964484E+02    5.63248364724E+02
  220.0   245.0    2.51667755976E+02    3.10940547587E+02
  245.0   272.0    1.41349717917E+02    1.75368308198E+02
  272.0   300.0    8.08998983713E+01    1.00952554735E+02
  300.0   330.0    4.72299981841E+01    5.92871072899E+01
  330.0   362.0    2.78160875845E+01    3.50664392745E+01
  362.0   395.0    1.66558820178E+01    2.11416980435E+01
  395.0   430.0    1.01370269445E+01    1.28941267168E+01
  430.0   468.0    6.18256054380E+00    7.91394223113E+00
  468.0   507.0    3.79962013980E+00    4.88053509503E+00
  507.0   548.0    2.37092001347E+00    3.06063669920E+00
  548.0   592.0    1.48379831594E+00    1.92239167754E+00
  592.0   638.0    9.31288901489E-01    1.21290695175E+00
  638.0   686.0    5.89430488721E-01    7.69863554641E-01
  686.0   737.0    3.74459971287E-01    4.91870188354E-01
  737.0   790.0    2.38737297614E-01    3.14912527029E-01
  790.0   846.0    1.52834888899E-01    2.02569926335E-01
  846.0   905.0    9.78330905283E-02    1.30121188268E-01
  905.0   967.0    6.26422584316E-02    8.38136843054E-02
  967.0   1032.    4.01336206862E-02    5.39151462922E-02
  1032.   1101.    2.56516662377E-02    3.46642178215E-02
  1101.   1172.    1.63993626192E-02    2.22663659354E-02
  1172.   1248.    1.04695898745E-02    1.42827919702E-02
  1248.   1327.    6.64238828233E-03    9.12413326526E-03
  1327.   1410.    4.20566612184E-03    5.80004230314E-03
  1410.   1497.    2.64858623740E-03    3.68046086629E-03
  1497.   1588.    1.65883225647E-03    2.31591536916E-03
  1588.   1684.    1.03063393553E-03    1.44935718935E-03
  1684.   1784.    6.34632649945E-04    8.99959659536E-04
  1784.   1890.    3.86457060508E-04    5.51464598989E-04
  1890.   2000.    2.32373652246E-04    3.34145061530E-04
  2000.   2116.    1.37987459450E-04    1.99988827703E-04
  2116.   2238.    8.04180813414E-05    1.17543691894E-04
  2238.   2366.    4.59591884883E-05    6.77496761748E-05
  2366.   2500.    2.57202313901E-05    3.82905971595E-05
  2500.   2640.    1.40625512185E-05    2.11417929395E-05
  2640.   2787.    7.48136204789E-06    1.13554457492E-05
  2787.   2941.    3.85505939489E-06    5.91838718293E-06
  2941.   3103.    1.91184172694E-06    2.96849699454E-06
